DATE: 2017-05-30

NUMBER OF USERS: 3771

SUBMISSIONS: 44872

HISTOGRAM BY SECTION:
section_id	users	histogram
1	2690	********
2	514	******
3	108	*****
4	127	*****
5	141	*****
6	60	****
7	13	***
8	3	*
9	40	****
10	10	**
11	5	**
12	10	**
13	20	***
14	2	*
15	11	**
16	3	*
18	2	*
19	2	*
20	1	
21	1	
22	1	
23	2	*
25	4	*
99	1	

HISTOGRAM BY NUM PROBLEMSi:
num_problems	users	histogram
0	2266	********
1	201	*****
2	119	*****
3	66	****
4	35	****
5	143	*****
6	152	*****
7	45	****
8	58	****
9	43	****
10	35	****
11	36	****
12	29	***
13	21	***
14	16	***
15	19	***
16	23	***
17	23	***
18	17	***
19	15	***
20	12	**
21	12	**
22	11	**
23	20	***
24	41	****
25	24	***
26	13	***
27	13	***
28	10	**
29	18	***
30	18	***
31	9	**
32	12	**
33	9	**
34	11	**
35	4	*
36	5	**
37	7	**
38	8	**
39	6	**
40	6	**
41	5	**
42	3	*
43	5	**
44	3	*
45	6	**
46	9	**
47	5	**
48	3	*
49	7	**
50	3	*
51	6	**
52	6	**
53	6	**
54	13	***
55	4	*
56	1	
57	4	*
58	2	*
59	4	*
60	1	
61	2	*
63	2	*
64	5	**
65	2	*
66	1	
67	1	
71	1	
72	2	*
77	1	
78	2	*
79	1	
81	1	
82	1	
83	2	*
86	3	*
92	2	*
94	2	*
95	1	
96	1	
99	1	
100	1	
101	1	
103	1	
104	1	
109	1	
115	1	
118	1	
119	1	
142	1	
163	1	
